R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
17066848,17242075,16227539,16208178,15977338,15909698,16122732,16115614,16048708,15995318,16262625,15931841,16069049,16038226,16223350,16090420,15738754,15960694,16295151,16764443,
17702736,17649055,16981396,16760049,16871793,17105049,16815164,16668283,17034215,16642005,16936240,16814842,16912100,16705735,16665446,16711807,16824339,16791518,16850189,16795490,
18653317,18944551,20030495,17814270,17992318,17621041,17496101,17558900,17474610,17769835,17633585,18461587,18342047,21340505,17911741,17677882,17919411,17590351,17821328,17673164,
19387197,19742539,18390903,27880927,27652341,26922031,24748275,25985899,28892638,26806892,26426654,25347861,29264914,27040522,21535066,19239995,18620344,18931614,18411164,19110165,
20403187,20710329,19222148,19105944,19403482,19272121,19378222,19196495,19019922,19434500,19203132,19050832,18973359,19317262,19267197,19288116,19533711,23614614,19268716,19593430,
21006801,21564131,20095750,20623623,20044978,19910556,19967835,19958405,20054362,19998639,19954863,19815326,20051455,19955037,19999462,20346371,19959377,20229676,20125625,21643719,
22306976,22820917,21254763,21417211,21389522,21488292,21279375,21397404,21318329,21964618,21123276,21242819,21362452,21180713,21152358,21201690,21072736,21043661,21302081,21351297,
23004215,23066394,21963396,21873060,21820613,21913122,21985268,22120429,21829780,21980296,21883397,21564512,22088333,21913056,22025538,21923005,22005283,21914713,21736111,21678501,
23741936,24737497,23441595,22934866,22804660,23782724,22617052,22914892,22544210,22690530,22825482,22777664,22609604,22623962,22856199,22684616,22671473,22679617,22587514,22575986,
25161936,24313951,23614753,23853944,23765898,23467554,23717872,23709435,23345161,24439981,23823998,24057679,23606892,23532932,23816019,23811401,23688094,23906919,24912975,23825651,
26350804,24885669,25067519,24757177,24501871,24906827,24757493,24752372,25068504,24746888,24530106,25518519,24749823,24752677,24907245,24553123,24570331,24976843,24752521,24448768,
27037572,25816415,25557444,25482141,25617976,25443307,25498345,25592884,25904142,25626535,25764851,25710040,25905612,31674217,35936548,34111950,28878389,26835762,26801499,27717218,
36883669,36223157,33354468,36199191,42027220,36103687,36443185,29563562,28646979,31991934,28359361,28886559,27203021,27069334,27083335,26896419,26809753,26888443,28139979,31116630,
30901932,30827372,28108016,29030010,30833705,28202150,28306058,28759891,28111019,28587940,29929876,28303452,28190093,28233716,28592428,28079177,29375972,29315905,31714107,33979188,
