R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
13052932,13142995,13056616,12906385,12721398,12659250,12617998,12892618,12729907,12716402,12519833,12803978,12534953,12608626,12327087,12954951,12402546,12236708,12665343,12357731,12298334,12694944,12638562,13136286,12353359,13280273,12387331,12363390,12965690,12399096,13107209,12668446,12499795,12572512,12670485,12764087,12288861,13538291,12437053,12872410,12780164,12718940,12370310,12306473,12380049,12317784,12451998,13018905,12385659,12930879,
14348390,15044490,13241366,13189744,13059076,13644868,13383787,13061507,13581929,13460745,13373790,13019098,13086641,13077870,13295487,13233512,13650409,13197509,13148091,13369526,13121695,13581065,13447035,13799083,13643802,12997163,13681818,13137382,14227963,13132270,12862669,13146525,13151005,13158146,13136821,13639494,13003788,13764737,13636200,13359092,13696938,13532562,13324686,13453250,13248901,13117128,13099421,13236628,13036284,13720466,
15483948,15985920,13946784,13947210,14452199,14291903,13932077,14434142,14340330,14234689,13808924,14526586,13758549,14695298,14110124,13834911,14766607,13934432,14442035,14308958,14230909,13982587,14397191,14385424,14293020,13916307,14295697,13856137,14413866,14193409,13818944,14339522,14332229,14125728,13935930,14364854,14101522,13889954,14435188,14143846,14384584,13869101,14255654,14217086,14253017,14190570,13994515,14419009,14125881,14404062,
15835554,15566702,14745049,15165032,16035291,15094062,14854434,14965228,14830456,14801860,14917094,15222065,15035478,14941383,14923580,14679164,15128360,14909773,14869166,14949793,14624090,14686620,14682582,14561642,14800032,15307583,15116430,14931762,14953086,14723831,15110657,14805755,14564551,15136671,14956928,14943073,14683383,14708667,14731684,14740479,15747487,14779950,14677684,14727023,14700808,14715645,14599442,14695864,14761790,14488597,
16641738,16751763,15532267,15615607,15441941,15666943,15507510,15658734,15383767,15553773,15500592,15323817,15526651,15390240,15478190,15920705,15435010,15450417,15516670,15504986,15435447,15523181,15593262,15484596,16065453,15628219,16116916,15434484,15475162,15662768,15448182,15554834,15503794,15481454,15415439,15522321,15926049,15923931,15924242,15593933,15584424,15933556,15585359,15559712,16178354,16046969,15476424,16037552,15891621,15447129,
18509252,19033375,16941482,16438543,17428082,16935665,16921968,16905855,16773331,16951963,16383183,17143650,17027856,16355493,16964750,16235756,16375627,16358653,16316779,16220506,16119681,16312236,16471108,16856612,16310120,16388962,16407538,16331020,16330544,16283614,16298027,16300642,16310223,16530156,16638779,17054465,16418089,16956211,16369133,16372894,16500535,16260494,17780550,16529962,16805833,16317556,16395242,16279932,16296044,16373469,
18899263,19470033,17741499,17277369,17159652,17405896,17294554,17302762,17248112,17253289,17323419,17267179,17285929,17276386,17268019,17372416,17266570,17094171,17430362,17364829,17641881,17294034,17231274,17272200,18581895,17235091,17254930,17229482,17329773,17242902,17373878,17188251,17363190,17178433,17191069,17252748,17296100,17317897,17028803,17342992,17242704,17176849,17113960,17291135,17250428,17246986,17281901,17212498,17649830,17693763,
19606988,20651485,18199639,18748063,18679416,19501627,18919269,18501365,18364112,18495032,18724037,18310121,18251111,18089881,18296528,18938259,18720310,18886203,18982803,18766610,18781677,18370320,18239498,18715648,18151842,18074694,18879531,18487908,18495652,18341039,18754935,18582785,18014347,18015488,18190907,19149387,18045610,18132116,18246267,18142943,18155064,18149085,18177428,18063739,18051762,18181767,18150107,18158374,18171009,18260997,
20191229,20814502,19202620,19176257,19231836,19139806,18988821,19308214,19191887,19170283,19131461,19233871,19415471,19081297,20197471,19284096,19074621,19136164,19759708,19204208,19233318,19221786,19336346,19065038,19141880,19052544,19256013,19358452,19193874,19291940,19124943,19144988,19203622,19183941,19204060,19138390,19170738,19206845,18981597,19172503,19203643,19058004,19237343,20460934,19086547,19313091,19316761,19136288,19051646,19103679,
21067504,21758581,20162597,19954898,20284225,20037163,19961300,20065903,20039996,20067057,20116323,20065841,20136881,20202518,20213026,20033087,20117233,20094952,20011026,20580398,20398161,20130346,20224217,19931895,20018691,20061516,20033896,20102385,20663166,20208552,19919075,20064845,20097967,20065393,20120237,20074099,20561379,20597962,20259796,20169411,20108017,20150002,20641778,20781076,20024565,20290699,19950576,20009704,21317096,19994781,
