
n:1
591506;237922;215081;269899;122461;97940;123174;150800;713083;107816;72524;153437;331898;214103;269459;219440;439997;221865;174659;244859;290082;114977;276019;86491;199832;
n:19
430551;346488;328100;452779;149689;678075;245759;270424;822693;256267;328749;206378;467710;222544;320474;377723;363771;397434;674075;461837;937384;106377;260646;345970;256076;
n:20
205141;320622;221056;342837;395313;681174;1578405;178684;760406;543584;500562;119561;557237;514646;848284;1062445;524584;733086;317857;419516;542565;996639;322886;928065;199418;
n:21
939530;465592;385857;975679;1426451;329231;388044;1930795;1277224;743513;477436;183503;783447;1222841;637836;401458;837898;952198;2037789;442649;449221;1269215;537645;826540;1132922;
n:22
904178;1803710;2068238;587398;1326599;1720285;605876;1906171;1413937;896613;767631;413924;742710;809753;1033228;2584449;800226;889934;1589442;1597077;1120281;975830;1348897;2728650;289699;
n:23
489569;523289;3032969;1627819;1573291;2395281;2201345;2094036;1455114;2304506;2839827;1189372;471672;1504458;1666999;1536018;709047;1774276;2422534;1301658;1498622;583914;2177721;1069163;1600739;
n:24
1204409;3339237;2286834;1633843;975989;3043435;2895814;1487840;2718889;189645;827446;1361276;2790778;2540486;2707603;4320090;1568167;2298558;4239179;2285642;2879768;2559262;2718236;2425201;3308202;
n:25
1430718;3363993;2922508;1422122;1926302;6656890;2064986;4063091;5092646;1412927;4744843;2602248;4524950;1355851;4389105;4278172;4541082;1411820;3805190;3095238;6169821;2099905;3362981;2567479;3835309;
n:26
9573755;2425545;2309104;5729473;2060639;3618763;8887031;2525255;6221966;4206234;4379597;1912314;6426144;3640824;2253443;5261673;5226883;1301440;9118387;5201275;5654844;7185558;8354058;3222858;7621896;
n:27
3288189;10165774;4603948;10904160;5150161;5067519;10236043;6607510;5655504;8211485;9254377;7408561;4743188;19876696;1342784;3387898;6629008;3592023;2454554;14008721;9682223;7493346;8562689;7769625;3751006;
n:28
14174562;6374144;4683578;8001361;7781717;8367333;10948457;7285376;22926463;8082751;8707915;7891488;11739060;14117788;18509796;6850139;16474828;10776917;5798884;3812848;2937366;9650021;12428938;20202958;15498567;
n:29
6266762;9530041;13369863;13138572;18537009;20401878;19666545;11083218;26006870;9368922;14110724;9501484;7312145;19320247;10296833;10881407;13643672;13226467;29028624;20444982;26316967;9188327;19755295;15981981;10757928;
n:30
45751869;12271328;47423506;19127944;13483152;16543012;18804581;17481410;22163549;22952072;9396990;8189768;10185150;13836359;9733131;32712335;6306004;30944766;27779287;18815660;13369442;31244080;11182736;9536804;37061866;
n:31
34285605;66966238;8009213;22607068;64506384;28632239;11273148;30395667;18188366;73592627;29496888;30808107;27978174;34962907;48648960;30533752;12479335;43343469;29700416;28719176;23340639;20483077;32747447;34042498;64372398;
n:32
127168713;66070364;148009898;71062016;45102511;32740971;25510261;39550001;21539429;58084552;38807043;9608117;23230429;65886875;23851575;23650139;71678213;42818881;54768120;47561071;16698463;61158676;34604731;32249540;35808894;
