R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
25969081,32851927,33361896,6361587,17916004,18799686,5886827,17418359,60604628,25801224,34041010,41216012,29177954,10742683,17839396,21538074,6457593,28237622,55810863,22309553,15161359,7694624,10821283,33813260,27048319,34278730,29669835,24041349,23763404,18780288,62367543,33215540,24844577,22366173,37285590,13998545,18697094,13989023,56700551,24143843,105695632,20371028,24619253,47627604,71792438,34437103,22879768,23125899,37787133,18665179,
43636489,47260752,13760412,40066724,32125666,33666847,37127730,97817971,39411551,155818707,23416052,32415491,53724259,64002281,19261923,38689143,12751682,29494416,38176124,19170571,20462871,84569532,59828497,35691586,60175427,31659753,14944379,21017600,42715471,16536389,40162296,53590382,107131603,9580716,24225936,30601765,34258971,50068218,50950527,61794224,23351378,41033613,62846278,24850016,24495461,33318989,33959661,95714688,29074012,22062674,
68569994,22177488,26331821,45208644,95030737,31206016,85268090,71524189,50184294,45165620,43685681,129361458,227301190,63713356,40430093,27512053,63610007,48597965,58493421,21478756,54628891,67143879,36917612,14597464,24639910,49198861,47597968,68030074,73077850,26086615,30764010,70322585,36846511,36037532,34006492,82455282,73825842,65952481,13895172,55208451,23334316,13920330,32687729,79791684,102091468,43829403,58369734,47062293,103274707,69709203,
154446710,158541697,58850309,107087721,120590217,74482573,121188607,92284125,98679593,184227551,78405072,78213752,148817179,35675131,72024880,92010396,49296133,110124330,76540242,62083862,21165096,14971583,68745360,41027672,141718673,80505710,182771046,52551322,80612832,83212172,72634762,156844690,94009241,36731982,74973568,86804413,57058287,62236557,28623097,57782085,84885429,39381998,82650217,202950398,74852600,33314128,130614225,134464132,57972828,119744871,
182046302,45292442,66801932,235912510,89004242,34644657,66907929,103989438,56327516,33353611,35497565,164893119,253192858,185587797,83587227,52481312,67928995,117713773,354283839,66804239,237314237,104713734,95134474,64939770,98448133,42442939,129506792,193268421,85911058,191725214,33204383,94296625,88376517,225328261,79424820,107962104,100609207,233781889,28272008,143273878,120786505,139226775,123812968,64465939,35841833,134735633,100354437,169098161,295511645,22308802,
124793512,121101015,172852651,94098881,157143991,231547316,159067033,44898356,161166347,134857683,100332429,242242231,119528970,174373679,193845244,100498095,118446601,112266070,117320188,91568850,194630812,251273863,54125003,56449584,151494363,84528724,211189557,137072216,129422630,182980034,96083247,116941850,457573842,121401789,203125244,98103996,45928859,90538669,341391129,804230760,65569009,177154766,218268963,52386759,263208112,106491999,108881359,429954057,169813779,178629677,
325220401,206860110,273228942,59708453,197621429,209805087,175099609,300522691,142803735,97071939,189024729,235289292,114936392,190929925,334651371,164832243,217485220,282421200,446832977,182266800,270979089,302006469,182681882,164797071,149174528,336489195,138419842,166274713,245874605,163307496,217044941,366969289,103429661,223386250,115677996,415549156,349739567,230740403,175562581,343537533,323027996,306505617,165496658,386674728,100058090,181411602,538266902,216191095,385721695,211043307,
271079908,137957464,313756894,352927303,239733318,356610587,118944470,336491325,137680351,337254658,442738896,426947564,262289972,66049176,511590944,248707833,150054705,550036151,148840969,241824719,466612495,239274137,379010861,192831013,216585077,116095890,170962682,443264340,428753736,294583640,731994696,128484233,282634228,192911537,167652539,119687196,173479381,248002897,92002330,146873948,283266437,78577187,224631957,30918073,152910104,485141846,138823330,457681739,529130500,738645305,
312684445,229783361,320932933,287564001,835907696,430830126,657643667,263138040,497306461,413163666,758747086,1035475182,214407956,172660782,108048700,213044790,335323988,56443257,157661331,273252152,404847714,165530785,308389979,526254634,306077920,782596778,1100158644,183691071,348358239,166463196,275984710,295385283,340094848,466924958,260911075,765139022,233769027,228297699,267309210,233399906,185742707,186783384,143543058,171002920,117159935,507580606,2257875661,618699009,377919055,400382247,
384657849,451041786,416881763,221356791,431870962,309223376,371651413,1075701424,749479949,480530542,166726038,566224451,1108453777,341919142,410652662,395670147,191176830,727414630,107294177,395981739,454082426,154830127,612744002,951336764,1871696901,694557281,428511679,197569458,798157372,495117583,464221499,402500918,512996461,660985226,286680594,726300836,1701025473,357698758,442026705,526285889,636392360,190867031,675323841,233915099,322852345,396409641,304028812,909283496,239181860,431154296,
