R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
789564,716890,691865,690862,766600,792977,690652,708778,698121,692897,916770,897624,885106,834904,695477,692994,693165,732438,705341,694252,709043,695551,690634,705495,691923,710004,696183,754880,696442,694556,688878,690067,692679,697472,892377,763525,750463,713429,742557,691742,758730,694604,749973,696657,903204,875995,750764,711533,729496,743700,
737664,741064,741881,747752,745361,828712,862961,753181,779529,747583,898375,888296,1006038,771403,776943,738965,948124,826315,769134,745069,918948,888436,758083,882049,741840,740018,982736,900918,926019,881180,791217,802726,903652,933261,785317,803854,835454,949451,894455,737304,774259,812187,930665,848088,818310,769551,873478,738031,1016883,754620,
941458,917410,828847,972309,929665,991692,794583,798031,791627,838909,830270,905544,975028,903838,788512,800485,841555,812598,796953,814436,899570,1033494,981530,793010,812499,800579,807133,928517,793785,839638,894043,936055,860720,834383,1025107,888717,857951,959274,983838,949956,797393,884252,797517,832391,969903,797879,793512,795203,795789,976340,
1019866,1049847,962185,855569,849826,965072,935049,852677,892337,849406,985707,1240604,973119,861730,860366,849434,851538,856534,852088,904623,848303,891946,847837,855769,855432,852483,864845,852683,850821,856099,907301,849547,903013,852578,895065,960358,882660,852645,853993,849953,852214,1039937,930389,856919,917895,1027249,938941,1036201,930417,882587,
1028469,1088663,934753,925857,955706,1044779,913509,910585,917359,967785,1173747,1173039,979276,970966,966364,910444,919323,920244,1043517,913744,950833,907849,953862,908043,980686,938897,912355,958916,915747,963404,910205,915940,916498,1000900,1066485,919748,952238,926641,907206,910287,915425,910975,906340,1050144,932261,919772,1065550,1072853,923062,1111568,
979410,978068,1020678,967298,1085736,1116785,982371,1049807,1105026,987746,1154772,1043855,977007,1061192,1056078,1091075,971671,1020560,975168,972452,972971,1005332,1010890,979922,1013095,964305,970238,974911,975348,977787,1039478,1120918,1063508,974958,1172516,992574,972559,987471,980427,982470,969842,1018173,976167,1028183,1050971,1192517,1118390,1166696,971230,1188213,
1052509,1162136,1111027,1107982,1128783,1070866,1041137,1217893,1218722,1164650,1184846,1070177,1188772,1030331,1108221,1090402,1039028,1044259,1038682,1137891,1171466,1119192,1142776,1146354,1222742,1091356,1096284,1037477,1036908,1063241,1035442,1086531,1099355,1031804,1313877,1187430,1079232,1042749,1053221,1102126,1262669,1120728,1266654,1218506,1083667,1224673,1035774,1188106,1062827,1038642,
1139972,1370084,1302644,1349414,1375188,1106957,1097857,1148143,1157943,1185007,1319886,1182686,1100138,1106865,1219147,1243574,1267383,1183525,1289730,1158177,1198484,1113123,1215739,1173772,1101474,1103381,1097585,1103286,1281485,1194977,1143628,1143516,1103559,1116118,1106039,1103902,1184515,1241405,1177725,1229033,1270089,1185507,1266330,1101042,1197282,1174763,1260943,1100606,1150856,1101700,
1215171,1170540,1280622,1300826,1625014,1192189,1180754,1241361,1253769,1428595,1333107,1174154,1225065,1170005,1169029,1394558,1223188,1248010,1371074,1179966,1203746,1347325,1168107,1235505,1285309,1411731,1170932,1289039,1198486,1167543,1216270,1174953,1172159,1183022,1213184,1300958,1400988,1173239,1245515,1220561,1373619,1258809,1424828,1166321,1169071,1208556,1264087,1169719,1195542,1214618,
1367992,1505603,1381823,1657216,1316203,1299651,1453320,1242728,1435057,1495596,1297959,1250939,1242462,1278211,1379865,1380311,1446339,1423360,1257713,1352805,1542931,1297828,1284001,1388110,1261883,1350871,1516328,1521709,1451411,1365635,1539366,1535753,1414435,1356626,1276907,1330711,1493123,1244416,1245701,1304459,1245177,1317095,1319309,1340608,1391630,1287617,1359368,1376405,1426731,1362132,
1355072,1410243,1479733,1895222,1485640,1315555,1326839,1357318,1528532,1562422,1320586,1340643,1389848,1409921,1322269,1373025,1559999,1485777,1322327,1362037,1348427,1319105,1374795,1481398,1371178,1398279,1450160,1548137,1417982,1613080,1618424,1601098,1581781,1390593,1320545,1321179,1368428,1344877,1320569,1360410,1328442,1325259,1354329,1328348,1323278,1376328,1312838,1326167,1384502,1339002,
1401736,1449456,1396130,1494526,1665070,1526958,1395690,1402917,1439748,1635290,1529037,1441017,1507628,1394815,1400525,1440300,1397377,1399167,1436929,1414663,1399667,1436913,1418960,1388263,1448647,1404370,1404392,1604161,1436897,1392114,1442151,1479508,1401494,1405485,1460059,1511397,1581714,1425371,1616952,1577860,1404310,1457309,1427748,1388888,1449445,1403525,1399274,1481224,1400325,1694341,
1676222,1534348,1480785,1619654,1518077,1482128,1563022,1511443,1528354,1623604,1491829,1528813,1533169,1486552,1472445,1521329,1470336,1478142,1484037,1526800,1473093,1469720,1533955,1484021,1486934,1534585,1482406,1504601,1647057,1591720,1489005,1489188,1603712,1481089,1485445,1562800,1506862,1479675,1567966,1530551,1484105,1481122,1518146,1522919,1478775,1477581,1521149,1481977,1479628,1520346,
1563857,1821795,1618786,1866474,1575999,1619036,1557547,1577265,1736836,1729343,1558182,1568110,1684834,1606599,1563826,1575776,1609422,1563651,1618483,1747151,1554157,1607984,1564429,1562930,1603956,1743325,1577948,1579132,1575426,1610808,1596306,1562083,1570426,1616700,1693222,1565013,1627102,1631174,1604284,1564636,1573381,1601246,1570327,1564954,1607699,1772603,1656782,1562895,1657078,1609595,
1656902,1649071,1695336,1833368,1780324,1655487,1694360,1655969,1917554,1731967,1655222,1736228,1788685,1647429,1649009,1703190,1698707,1658172,1645327,1705339,1704256,1655060,1658898,1709189,1650217,1655567,1659277,1761813,1773574,1656001,1645987,1716430,1718718,1657302,1679043,1715172,1683422,1650517,1648925,1695741,1688635,1658968,1788997,1746604,1746061,1758242,1728672,1789100,1856445,1769434,
1788825,1743615,1740611,2070270,1744381,1776494,1811024,2021536,2121327,1916541,1744654,1744810,1743684,1897584,1785682,1745024,2020524,1763888,1780210,1811418,1925548,2031754,1760705,1746826,1786736,1793940,1744401,1739409,1878401,2061860,2023948,1741730,1955359,1816448,1785887,1815159,1745343,1739284,1783683,1834761,1830695,1902323,1732036,1945473,1835432,1772360,1758138,1739227,1785627,1781766,
1830778,1839283,1847187,2233189,1882367,1907365,1895127,2080212,2196234,2000442,1845808,1846669,1836063,1872311,1903361,1830858,1940842,1902777,1901963,1957322,1879293,1904609,1845433,1838066,1887351,1877900,1837033,1904076,1834395,1896070,1888590,1836372,1837389,1837996,2060167,1925489,1992524,2111757,1856025,1968596,1973967,1925356,1981319,2045622,1851214,1944229,2123003,1855499,1887305,1885832,
1942047,1986535,2000759,2120908,2052258,2087948,1981164,2311550,2150393,2008846,2038958,1935644,1927627,1964114,1995554,1984474,2397701,2011921,2045931,2349806,2396785,2328561,2221640,1951439,2115689,2090937,2024250,1953525,1973978,1982609,2222380,1949512,1959110,1946346,1979229,1966583,1932744,1930306,1938437,1989988,1994800,1963105,1938891,1946180,1990729,1995703,1984073,1953490,1941843,1984871,
2091746,2097983,2184643,2469048,2096066,2083573,2038698,2235314,2221782,2207784,2105022,2078878,2022043,2031752,2046628,2067764,2083345,2072210,2070232,2051127,2047140,2037334,2072643,2102536,2091543,2271247,2044661,2043836,2130025,2103641,2077176,2084411,2039270,2046787,2035496,2071470,2074511,2079554,2049652,2262135,2083681,2163601,2090145,2214152,2164734,2154568,2068144,2085507,2043931,2032761,
2136839,2181651,2287089,2397082,2285420,2202892,2183968,2404379,2307496,2142732,2178055,2194128,2181789,2227275,2172733,2174732,2145812,2152556,2212849,2171756,2211164,2189301,2262302,2362702,2143614,2149898,2145584,2155762,2176505,2188051,2192091,2189173,2141863,2136086,2140383,2211748,2195264,2174047,2178479,2177687,2163676,2409704,2361453,2176796,2242559,2375692,2178550,2234081,2334426,2250215,
2351156,2579523,2406727,2401643,2288382,2299349,2537541,2420612,2242882,2401084,2439444,2301388,2284923,2445428,2469289,2291410,2293582,2283914,2261679,2246367,2255350,2251189,2306999,2346715,2298597,2293374,2305063,2243786,2463579,2248752,2548384,2243532,2253599,2407092,2386420,2252766,2400481,2401244,2347620,2269773,2303809,2301755,2318112,2287518,2323278,2291592,2430876,2323408,2369888,2278234,
